objectid,code,acres,sqmiles,created_user,created_date,last_edited_user,last_edited_date,landslideprone,Shape__Area,Shape__Length
1,p,911.371,1.424,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,0.000391698808007794,0.373809827231925
2,p,721.516,1.127,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,0.000310142945750873,0.350344784808412
3,p,19.157,0.03,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,8.2354949060539e-06,0.0139770609987702
4,p,24.743,0.039,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,1.06366750533024e-05,0.0470213431191387
5,p,453.695,0.709,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,0.00019500981018459,0.334613647316645
6,p,246.52,0.385,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,0.00010595813069459,0.189933938639494
7,p,9.586,0.015,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,4.12018462232764e-06,0.00890635404724271
8,p,3.9,0.006,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,1.67619146135987e-06,0.00916155675725606
9,p,111.811,0.175,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,4.80502395688709e-05,0.121511753516157
10,p,84.537,0.132,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,3.63317118513709e-05,0.0618467629296629
11,p,1.654,0.003,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,7.1077619181215e-07,0.00402978505520301
12,p,13.71,0.021,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,5.89219635174751e-06,0.0192877870820469
13,p,6.246,0.01,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,2.68456942977362e-06,0.00770388668414636
14,p,5.535,0.009,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,2.37879425876204e-06,0.0124651582013374
15,p,43.316,0.068,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,1.86139967233162e-05,0.0548124634377827
16,p,568.816,0.889,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,0.000244389254573639,0.40801298161698
17,p,44.423,0.069,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,1.90876984471354e-05,0.0491483570326311
18,p,38.777,0.061,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,1.66623311784218e-05,0.0609483305828642
19,p,516.954,0.808,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,0.000222106585398789,0.231139314651931
20,p,13.429,0.021,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,5.76984444694251e-06,0.0184905862060531
21,p,8.417,0.013,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,3.61610102761476e-06,0.0192543504310228
22,p,1054.607,1.648,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,0.000452917817044786,0.482357636887333
23,p,120.328,0.188,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,5.16861308954955e-05,0.1522463745521
24,p,173.118,0.27,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,7.43611020440971e-05,0.138795662635615
25,p,205.988,0.322,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,8.84725665468718e-05,0.130687779807266
26,p,200.483,0.313,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,8.61043725801583e-05,0.173927121046807
27,p,192.413,0.301,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,8.26436308085881e-05,0.129679019110137
28,p,186.041,0.291,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,7.9896157301302e-05,0.136701877366482
29,p,525.429,0.821,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,0.000225625067823378,0.268332512489166
30,p,49.62,0.078,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,2.13063446758349e-05,0.0432588197012785
31,p,89.803,0.14,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,3.85580259727046e-05,0.0693149652289864
32,p,113.537,0.177,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,4.87489130228168e-05,0.0533617169612383
33,p,93.202,0.146,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,4.001478073359e-05,0.0608250703117463
34,p,12.22,0.019,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,5.24635166021856e-06,0.0137165359218198
35,p,19.897,0.031,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,8.5419516349526e-06,0.0316620409714242
36,p,216.452,0.338,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,9.29121050889809e-05,0.137888546619492
37,p,280.649,0.439,pgh.admin,2018-03-19T19:03:26.930Z,pgh.admin,2018-03-19T19:03:26.930Z,Yes,0.00012045913536465,0.117251880676082
